,playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM,+/-,PPG,SHG,PostGP,PostG,PostA,PostPts,PostPIM,PostPPG,PostSHG,HOF,name
15674,hamrlro01,2003,NYI,NHL,D,81.0,7.0,22.0,29.0,68.0,2.0,2.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,Roman Hamrlik
15684,hamwama01,1984,NYI,NHL,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Hamway
15685,hamwama01,1985,NYI,NHL,R,49.0,5.0,12.0,17.0,9.0,-5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Hamway
15686,hamwama01,1986,NYI,NHL,R,2.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Hamway
15688,handyro01,1984,NYI,NHL,L,10.0,0.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ron Handy
15793,hanseri01,1976,NYI,NHL,C,4.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richie Hansen
15794,hanseri01,1977,NYI,NHL,C,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richie Hansen
15795,hanseri01,1978,NYI,NHL,C,12.0,1.0,6.0,7.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Richie Hansen
15883,harloda01,1998,NYI,NHL,D,70.0,2.0,6.0,8.0,68.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Harlock
15935,harribi02,1972,NYI,NHL,R,78.0,28.0,22.0,50.0,35.0,-44.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Billy Harris
15936,harribi02,1973,NYI,NHL,R,78.0,23.0,27.0,50.0,34.0,-11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Billy Harris
15937,harribi02,1974,NYI,NHL,R,80.0,25.0,37.0,62.0,34.0,4.0,4.0,0.0,17.0,3.0,7.0,10.0,12.0,2.0,0.0,0.0,Billy Harris
15938,harribi02,1975,NYI,NHL,R,80.0,32.0,38.0,70.0,54.0,22.0,16.0,0.0,13.0,5.0,2.0,7.0,10.0,1.0,0.0,0.0,Billy Harris
15939,harribi02,1976,NYI,NHL,R,80.0,24.0,43.0,67.0,44.0,18.0,5.0,1.0,12.0,7.0,7.0,14.0,8.0,2.0,0.0,0.0,Billy Harris
15940,harribi02,1977,NYI,NHL,R,80.0,22.0,38.0,60.0,40.0,27.0,1.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Billy Harris
15941,harribi02,1978,NYI,NHL,R,80.0,15.0,39.0,54.0,18.0,26.0,0.0,0.0,10.0,2.0,1.0,3.0,10.0,1.0,0.0,0.0,Billy Harris
15942,harribi02,1979,NYI,NHL,R,67.0,15.0,15.0,30.0,37.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Billy Harris
16051,hartge01,1972,NYI,NHL,D,47.0,1.0,11.0,12.0,158.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gerry Hart
16052,hartge01,1973,NYI,NHL,D,70.0,1.0,10.0,11.0,61.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gerry Hart
16053,hartge01,1974,NYI,NHL,D,71.0,4.0,14.0,18.0,143.0,28.0,0.0,1.0,17.0,2.0,2.0,4.0,42.0,0.0,0.0,0.0,Gerry Hart
16054,hartge01,1975,NYI,NHL,D,80.0,6.0,18.0,24.0,151.0,35.0,0.0,0.0,13.0,1.0,3.0,4.0,24.0,0.0,0.0,0.0,Gerry Hart
16055,hartge01,1976,NYI,NHL,D,80.0,4.0,18.0,22.0,98.0,29.0,0.0,1.0,12.0,0.0,2.0,2.0,23.0,0.0,0.0,0.0,Gerry Hart
16056,hartge01,1977,NYI,NHL,D,78.0,2.0,23.0,25.0,94.0,44.0,0.0,0.0,7.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,Gerry Hart
16057,hartge01,1978,NYI,NHL,D,50.0,2.0,14.0,16.0,78.0,30.0,0.0,0.0,9.0,0.0,2.0,2.0,10.0,0.0,0.0,0.0,Gerry Hart
16284,hawryne01,1981,NYI,NHL,R,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neil Hawryliw
16363,healygl01,1989,NYI,NHL,G,39.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Glenn Healy
16364,healygl01,1990,NYI,NHL,G,53.0,0.0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glenn Healy
16365,healygl01,1991,NYI,NHL,G,37.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glenn Healy
16366,healygl01,1992,NYI,NHL,G,47.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,Glenn Healy
16604,helmira01,1988,NYI,NHL,C,24.0,1.0,11.0,12.0,4.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Raimo Helminen
16657,hendrda01,1995,NYI,NHL,L,16.0,1.0,4.0,5.0,33.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Darby Hendrickson
16684,hennilo01,1972,NYI,NHL,C,63.0,7.0,19.0,26.0,14.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lorne Henning
16685,hennilo01,1973,NYI,NHL,C,60.0,12.0,15.0,27.0,6.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lorne Henning
16686,hennilo01,1974,NYI,NHL,C,61.0,5.0,6.0,11.0,6.0,7.0,0.0,4.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,Lorne Henning
16687,hennilo01,1975,NYI,NHL,C,80.0,7.0,10.0,17.0,16.0,6.0,0.0,4.0,13.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,Lorne Henning
16688,hennilo01,1976,NYI,NHL,C,80.0,13.0,18.0,31.0,10.0,21.0,0.0,6.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Lorne Henning
16689,hennilo01,1977,NYI,NHL,C,79.0,12.0,15.0,27.0,6.0,10.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Lorne Henning
16690,hennilo01,1978,NYI,NHL,C,73.0,13.0,20.0,33.0,14.0,17.0,0.0,2.0,10.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,Lorne Henning
16691,hennilo01,1979,NYI,NHL,C,39.0,3.0,6.0,9.0,6.0,-10.0,0.0,0.0,21.0,3.0,4.0,7.0,2.0,0.0,3.0,0.0,Lorne Henning
16692,hennilo01,1980,NYI,NHL,C,9.0,1.0,2.0,3.0,24.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lorne Henning
16717,henryda01,1984,NYI,NHL,L,16.0,2.0,1.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dale Henry
16718,henryda01,1985,NYI,NHL,L,7.0,1.0,3.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dale Henry
16719,henryda01,1986,NYI,NHL,L,19.0,3.0,3.0,6.0,46.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Dale Henry
16720,henryda01,1987,NYI,NHL,L,48.0,5.0,15.0,20.0,115.0,8.0,0.0,0.0,6.0,1.0,0.0,1.0,17.0,0.0,1.0,0.0,Dale Henry
16721,henryda01,1988,NYI,NHL,L,22.0,2.0,2.0,4.0,66.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dale Henry
16722,henryda01,1989,NYI,NHL,L,20.0,0.0,2.0,2.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dale Henry
16748,herbeia01,1999,NYI,NHL,D,6.0,0.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ian Herbers
16805,herteja01,1995,NYI,NHL,D,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jason Herter
16822,hewarja01,1999,NYI,NHL,D,54.0,6.0,11.0,17.0,26.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jamie Heward
16875,hextaro01,1993,NYI,NHL,G,65.0,0.0,3.0,3.0,52.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Ron Hextall
16902,hickeer01,1972,NYI,NHL,L,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ernie Hicke
16903,hickeer01,1973,NYI,NHL,L,55.0,6.0,7.0,13.0,26.0,-19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ernie Hicke
16904,hickeer01,1974,NYI,NHL,L,20.0,2.0,6.0,8.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ernie Hicke
16995,hilbean01,2006,NYI,NHL,C,81.0,8.0,20.0,28.0,34.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Andy Hilbert
16996,hilbean01,2007,NYI,NHL,C,70.0,8.0,8.0,16.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andy Hilbert
16997,hilbean01,2008,NYI,NHL,C,67.0,11.0,16.0,27.0,22.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andy Hilbert
17022,hilleja01,2007,NYI,NHL,D,2.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack Hillen
17023,hilleja01,2008,NYI,NHL,D,40.0,1.0,5.0,6.0,16.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack Hillen
17024,hilleja01,2009,NYI,NHL,D,69.0,3.0,18.0,21.0,44.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack Hillen
17025,hilleja01,2010,NYI,NHL,D,64.0,4.0,18.0,22.0,45.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack Hillen
17046,hillira01,1991,NYI,NHL,D,8.0,0.0,0.0,0.0,11.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Randy Hillier
17115,hillse01,2006,NYI,NHL,D,81.0,1.0,24.0,25.0,110.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sean Hill
17348,hogosgo01,1977,NYI,NHL,G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goran Hogosta
17355,hoguebe01,1991,NYI,NHL,L,72.0,30.0,45.0,75.0,67.0,30.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benoit Hogue
17356,hoguebe01,1992,NYI,NHL,C,70.0,33.0,42.0,75.0,108.0,13.0,5.0,3.0,18.0,6.0,6.0,12.0,31.0,0.0,2.0,0.0,Benoit Hogue
17357,hoguebe01,1993,NYI,NHL,L,83.0,36.0,33.0,69.0,73.0,-7.0,9.0,5.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,Benoit Hogue
17358,hoguebe01,1994,NYI,NHL,L,33.0,6.0,4.0,10.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benoit Hogue
17411,hollaja01,1996,NYI,NHL,D,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jason Holland
17412,hollaja01,1997,NYI,NHL,D,8.0,0.0,0.0,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jason Holland
17626,hordymi01,1978,NYI,NHL,D,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Hordy
17627,hordymi01,1979,NYI,NHL,D,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Hordy
17768,houdado01,1996,NYI,NHL,D,70.0,2.0,8.0,10.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doug Houda
17769,houdado01,1997,NYI,NHL,D,31.0,1.0,2.0,3.0,47.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Doug Houda
17791,houghmi01,1997,NYI,NHL,L,74.0,5.0,7.0,12.0,27.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Hough
17792,houghmi01,1998,NYI,NHL,L,11.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Hough
17865,howatga01,1972,NYI,NHL,L,8.0,0.0,1.0,1.0,18.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garry Howatt
17866,howatga01,1973,NYI,NHL,L,78.0,6.0,11.0,17.0,204.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garry Howatt
17867,howatga01,1974,NYI,NHL,L,77.0,18.0,30.0,48.0,121.0,32.0,1.0,0.0,17.0,3.0,3.0,6.0,59.0,0.0,0.0,0.0,Garry Howatt
17868,howatga01,1975,NYI,NHL,L,80.0,21.0,13.0,34.0,197.0,26.0,0.0,0.0,13.0,5.0,5.0,10.0,23.0,0.0,0.0,0.0,Garry Howatt
17869,howatga01,1976,NYI,NHL,L,70.0,13.0,15.0,28.0,182.0,14.0,1.0,0.0,12.0,1.0,1.0,2.0,28.0,0.0,0.0,0.0,Garry Howatt
17870,howatga01,1977,NYI,NHL,L,61.0,7.0,12.0,19.0,146.0,7.0,0.0,0.0,7.0,0.0,1.0,1.0,62.0,0.0,0.0,0.0,Garry Howatt
17871,howatga01,1978,NYI,NHL,L,75.0,16.0,12.0,28.0,205.0,6.0,0.0,0.0,9.0,0.0,1.0,1.0,18.0,0.0,0.0,0.0,Garry Howatt
17872,howatga01,1979,NYI,NHL,L,77.0,8.0,11.0,19.0,219.0,-3.0,0.0,0.0,21.0,3.0,1.0,4.0,84.0,0.0,0.0,0.0,Garry Howatt
17873,howatga01,1980,NYI,NHL,L,70.0,4.0,15.0,19.0,174.0,12.0,0.0,0.0,8.0,0.0,2.0,2.0,15.0,0.0,0.0,0.0,Garry Howatt
17992,howsosc01,1984,NYI,NHL,C,8.0,4.0,1.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scott Howson
17993,howsosc01,1985,NYI,NHL,C,10.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scott Howson
18036,hrkacto01,1999,NYI,NHL,C,7.0,0.0,2.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tony Hrkac
18041,hrudeke01,1983,NYI,NHL,G,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kelly Hrudey
18042,hrudeke01,1984,NYI,NHL,G,41.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kelly Hrudey
18043,hrudeke01,1985,NYI,NHL,G,45.0,0.0,3.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Kelly Hrudey
18044,hrudeke01,1986,NYI,NHL,G,46.0,0.0,1.0,1.0,37.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kelly Hrudey
18045,hrudeke01,1987,NYI,NHL,G,47.0,0.0,2.0,2.0,20.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Kelly Hrudey
18046,hrudeke01,1988,NYI,NHL,G,50.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kelly Hrudey
18127,hudsoda01,1972,NYI,NHL,C,69.0,12.0,19.0,31.0,17.0,-39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dave Hudson
18128,hudsoda01,1973,NYI,NHL,C,63.0,2.0,10.0,12.0,7.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dave Hudson
18192,hughebr02,1996,NYI,NHL,R,51.0,7.0,3.0,10.0,57.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brent Hughes
18395,huntetr01,2001,NYI,NHL,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,Trent Hunter
18396,huntetr01,2002,NYI,NHL,R,8.0,0.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trent Hunter
18397,huntetr01,2003,NYI,NHL,R,77.0,25.0,26.0,51.0,16.0,23.0,4.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,Trent Hunter
18398,huntetr01,2005,NYI,NHL,R,82.0,16.0,19.0,35.0,34.0,-9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trent Hunter
18399,huntetr01,2006,NYI,NHL,R,77.0,20.0,15.0,35.0,22.0,5.0,5.0,1.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,Trent Hunter
18400,huntetr01,2007,NYI,NHL,R,82.0,12.0,29.0,41.0,43.0,-17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trent Hunter
18401,huntetr01,2008,NYI,NHL,R,55.0,14.0,17.0,31.0,41.0,-8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trent Hunter
18402,huntetr01,2009,NYI,NHL,R,61.0,11.0,17.0,28.0,18.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trent Hunter
18403,huntetr01,2010,NYI,NHL,R,17.0,1.0,3.0,4.0,23.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trent Hunter
18532,iggulmi01,2008,NYI,NHL,C,11.0,1.0,4.0,5.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike Iggulden
18682,isbisbr01,1999,NYI,NHL,L,64.0,22.0,20.0,42.0,100.0,-18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brad Isbister
18683,isbisbr01,2000,NYI,NHL,L,51.0,18.0,14.0,32.0,59.0,-19.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brad Isbister
18684,isbisbr01,2001,NYI,NHL,L,79.0,17.0,21.0,38.0,113.0,1.0,4.0,0.0,3.0,1.0,1.0,2.0,17.0,1.0,0.0,0.0,Brad Isbister
18685,isbisbr01,2002,NYI,NHL,L,53.0,10.0,13.0,23.0,34.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brad Isbister
18737,jackmti01,2007,NYI,NHL,R,36.0,1.0,3.0,4.0,57.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Jackman
18738,jackmti01,2008,NYI,NHL,R,69.0,5.0,7.0,12.0,155.0,-17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Jackman
18739,jackmti01,2009,NYI,NHL,R,54.0,4.0,5.0,9.0,98.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Jackman
18772,jacksda01,1997,NYI,NHL,R,8.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dane Jackson
18922,jannecr01,1998,NYI,NHL,C,18.0,1.0,4.0,5.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Craig Janney
18943,janssma01,1997,NYI,NHL,C,12.0,0.0,0.0,0.0,34.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mark Janssens
18950,jarreco01,2005,NYI,NHL,D,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cole Jarrett
19129,joensje01,2008,NYI,NHL,L,7.0,1.0,2.0,3.0,4.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jesse Joensuu
19130,joensje01,2009,NYI,NHL,R,11.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jesse Joensuu
19131,joensje01,2010,NYI,NHL,R,42.0,6.0,3.0,9.0,33.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jesse Joensuu
19132,johanan01,1995,NYI,NHL,C,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andreas Johansson
19133,johanan01,1996,NYI,NHL,C,15.0,2.0,2.0,4.0,0.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andreas Johansson
19163,johangl01,1985,NYI,NHL,D,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glenn Johannesen
19187,johnsaa01,2007,NYI,NHL,D,30.0,0.0,2.0,2.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aaron Johnson
19442,johnsra01,1979,NYI,NHL,D,4.0,0.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Randy Johnston
19504,jokinol01,1999,NYI,NHL,C,82.0,11.0,10.0,21.0,80.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Olli Jokinen
19634,jonssjo01,1999,NYI,NHL,L,68.0,11.0,17.0,28.0,16.0,-6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jorgen Jonsson
19638,jonsske01,1995,NYI,NHL,D,16.0,0.0,4.0,4.0,10.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenny Jonsson
19639,jonsske01,1996,NYI,NHL,D,81.0,3.0,18.0,21.0,24.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenny Jonsson
19640,jonsske01,1997,NYI,NHL,D,81.0,14.0,26.0,40.0,58.0,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenny Jonsson
19641,jonsske01,1998,NYI,NHL,D,63.0,8.0,18.0,26.0,34.0,-18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenny Jonsson
19642,jonsske01,1999,NYI,NHL,D,65.0,1.0,24.0,25.0,32.0,-15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenny Jonsson
19643,jonsske01,2000,NYI,NHL,D,65.0,8.0,21.0,29.0,30.0,-22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kenny Jonsson
19644,jonsske01,2001,NYI,NHL,D,76.0,10.0,22.0,32.0,26.0,15.0,2.0,1.0,5.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,Kenny Jonsson
19645,jonsske01,2002,NYI,NHL,D,71.0,8.0,18.0,26.0,24.0,-8.0,3.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Kenny Jonsson
19646,jonsske01,2003,NYI,NHL,D,79.0,5.0,24.0,29.0,22.0,25.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Kenny Jonsson
19648,jonssto01,1981,NYI,NHL,D,70.0,9.0,25.0,34.0,51.0,26.0,0.0,0.0,10.0,0.0,2.0,2.0,21.0,0.0,0.0,0.0,Tomas Jonsson
19649,jonssto01,1982,NYI,NHL,D,72.0,13.0,35.0,48.0,50.0,40.0,1.0,0.0,20.0,2.0,10.0,12.0,18.0,0.0,0.0,0.0,Tomas Jonsson
19650,jonssto01,1983,NYI,NHL,D,72.0,11.0,36.0,47.0,54.0,12.0,2.0,0.0,21.0,3.0,5.0,8.0,22.0,2.0,0.0,0.0,Tomas Jonsson
19651,jonssto01,1984,NYI,NHL,D,69.0,16.0,34.0,50.0,58.0,-1.0,8.0,0.0,7.0,1.0,2.0,3.0,10.0,1.0,0.0,0.0,Tomas Jonsson
19652,jonssto01,1985,NYI,NHL,D,77.0,14.0,30.0,44.0,62.0,16.0,5.0,1.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,Tomas Jonsson
19653,jonssto01,1986,NYI,NHL,D,47.0,6.0,25.0,31.0,36.0,-8.0,1.0,1.0,10.0,1.0,4.0,5.0,6.0,1.0,0.0,0.0,Tomas Jonsson
19654,jonssto01,1987,NYI,NHL,D,72.0,6.0,41.0,47.0,115.0,6.0,1.0,0.0,5.0,2.0,2.0,4.0,10.0,1.0,0.0,0.0,Tomas Jonsson
19655,jonssto01,1988,NYI,NHL,D,53.0,9.0,23.0,32.0,34.0,-13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomas Jonsson
19771,junkest01,1992,NYI,NHL,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Steve Junker
19772,junkest01,1993,NYI,NHL,R,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Steve Junker
19785,jurcimi01,2010,NYI,NHL,D,46.0,4.0,13.0,17.0,30.0,-4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milan Jurcina
