,playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM,+/-,PPG,SHG,PostGP,PostG,PostA,PostPts,PostPIM,PostPPG,PostSHG,HOF,name
12150,flahewa01,1998,NYI,NHL,G,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wade Flaherty
12151,flahewa01,1999,NYI,NHL,G,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wade Flaherty
12152,flahewa01,2000,NYI,NHL,G,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wade Flaherty
12174,flatlpa01,1983,NYI,NHL,R,16.0,2.0,7.0,9.0,6.0,3.0,1.0,0.0,21.0,9.0,6.0,15.0,14.0,1.0,0.0,0.0,Pat Flatley
12175,flatlpa01,1984,NYI,NHL,R,78.0,20.0,31.0,51.0,106.0,-8.0,2.0,0.0,4.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,Pat Flatley
12176,flatlpa01,1985,NYI,NHL,R,73.0,18.0,34.0,52.0,66.0,20.0,6.0,0.0,3.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,Pat Flatley
12177,flatlpa01,1986,NYI,NHL,R,63.0,16.0,35.0,51.0,81.0,17.0,6.0,0.0,11.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0,Pat Flatley
12178,flatlpa01,1987,NYI,NHL,R,40.0,9.0,15.0,24.0,28.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat Flatley
12179,flatlpa01,1988,NYI,NHL,R,41.0,10.0,15.0,25.0,31.0,-5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat Flatley
12180,flatlpa01,1989,NYI,NHL,R,62.0,17.0,32.0,49.0,101.0,10.0,4.0,0.0,5.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,Pat Flatley
12181,flatlpa01,1990,NYI,NHL,R,56.0,20.0,25.0,45.0,74.0,-2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat Flatley
12182,flatlpa01,1991,NYI,NHL,R,38.0,8.0,28.0,36.0,31.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pat Flatley
