,playerID,year,tmID,lgID,GP,Min,W,L,T/OL,SHO,GA,PostGP,PostMin,PostW,PostL,PostT,PostSHO,PostGA,HOF,name
1789,hrudeke01,1985,NYI,NHL,45.0,2563.0,19.0,15.0,8.0,1.0,137.0,2.0,120.0,0.0,2.0,0.0,0.0,6.0,0.0,Kelly Hrudey
1790,hrudeke01,1986,NYI,NHL,46.0,2634.0,21.0,15.0,7.0,0.0,145.0,14.0,842.0,7.0,7.0,0.0,0.0,38.0,0.0,Kelly Hrudey
1791,hrudeke01,1987,NYI,NHL,47.0,2751.0,22.0,17.0,5.0,3.0,153.0,6.0,381.0,2.0,4.0,0.0,0.0,23.0,0.0,Kelly Hrudey
1792,hrudeke01,1988,NYI,NHL,50.0,2800.0,18.0,24.0,3.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kelly Hrudey
2049,koskimi01,2010,NYI,NHL,4.0,208.0,2.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mikko Koskinen
2134,lawsona01,2010,NYI,NHL,10.0,384.0,1.0,4.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nathan Lawson
2293,lorenda01,1990,NYI,NHL,2.0,80.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Danny Lorenz
2294,lorenda01,1991,NYI,NHL,2.0,120.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Danny Lorenz
2295,lorenda01,1992,NYI,NHL,4.0,157.0,1.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Danny Lorenz
2334,luongro01,1999,NYI,NHL,24.0,1292.0,7.0,14.0,1.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roberto Luongo
2347,macdojo01,2007,NYI,NHL,2.0,120.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joey MacDonald
2348,macdojo01,2008,NYI,NHL,49.0,2792.0,14.0,26.0,6.0,1.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joey MacDonald
2367,manelge01,1990,NYI,NHL,4.0,140.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,George Maneluk
2383,mannipe01,2008,NYI,NHL,3.0,133.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peter Mannino
2495,mclenja01,1993,NYI,NHL,22.0,1287.0,8.0,7.0,6.0,0.0,61.0,2.0,82.0,0.0,1.0,0.0,0.0,6.0,0.0,Jamie McLennan
2496,mclenja01,1994,NYI,NHL,21.0,1185.0,6.0,11.0,2.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jamie McLennan
2497,mclenja01,1995,NYI,NHL,13.0,636.0,3.0,9.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jamie McLennan
2536,melanro01,1980,NYI,NHL,11.0,620.0,8.0,1.0,1.0,0.0,32.0,3.0,92.0,1.0,0.0,0.0,0.0,6.0,0.0,Roland Melanson
2537,melanro01,1981,NYI,NHL,36.0,2115.0,22.0,7.0,6.0,0.0,114.0,3.0,64.0,0.0,1.0,0.0,0.0,5.0,0.0,Roland Melanson
2538,melanro01,1982,NYI,NHL,44.0,2460.0,24.0,12.0,5.0,1.0,109.0,5.0,238.0,2.0,2.0,0.0,0.0,10.0,0.0,Roland Melanson
2539,melanro01,1983,NYI,NHL,37.0,2019.0,20.0,11.0,2.0,0.0,110.0,6.0,87.0,0.0,1.0,0.0,0.0,5.0,0.0,Roland Melanson
2540,melanro01,1984,NYI,NHL,8.0,425.0,3.0,3.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roland Melanson
2630,montoal01,2010,NYI,NHL,21.0,1154.0,9.0,5.0,5.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al Montoya
2788,osgooch01,2001,NYI,NHL,66.0,3743.0,32.0,25.0,6.0,4.0,156.0,7.0,392.0,3.0,4.0,0.0,0.0,17.0,0.0,Chris Osgood
2789,osgooch01,2002,NYI,NHL,37.0,1993.0,17.0,14.0,4.0,2.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris Osgood
2955,potvife01,1998,NYI,NHL,11.0,606.0,2.0,7.0,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Felix Potvin
2956,potvife01,1999,NYI,NHL,22.0,1273.0,5.0,14.0,3.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Felix Potvin
2963,poulike01,2010,NYI,NHL,10.0,491.0,4.0,2.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Poulin
3083,reschgl01,1973,NYI,NHL,2.0,120.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glenn Resch
3084,reschgl01,1974,NYI,NHL,25.0,1432.0,12.0,7.0,5.0,3.0,59.0,12.0,692.0,8.0,4.0,0.0,1.0,25.0,0.0,Glenn Resch
3085,reschgl01,1975,NYI,NHL,44.0,2546.0,23.0,11.0,8.0,7.0,88.0,7.0,357.0,3.0,3.0,0.0,0.0,18.0,0.0,Glenn Resch
3086,reschgl01,1976,NYI,NHL,46.0,2711.0,26.0,13.0,6.0,4.0,103.0,3.0,144.0,1.0,1.0,0.0,0.0,5.0,0.0,Glenn Resch
3087,reschgl01,1977,NYI,NHL,45.0,2637.0,28.0,9.0,7.0,3.0,112.0,7.0,388.0,3.0,4.0,0.0,0.0,15.0,0.0,Glenn Resch
3088,reschgl01,1978,NYI,NHL,43.0,2539.0,26.0,7.0,10.0,2.0,106.0,5.0,300.0,2.0,3.0,0.0,1.0,11.0,0.0,Glenn Resch
3089,reschgl01,1979,NYI,NHL,45.0,2606.0,23.0,14.0,6.0,3.0,132.0,4.0,120.0,0.0,2.0,0.0,0.0,9.0,0.0,Glenn Resch
3090,reschgl01,1980,NYI,NHL,32.0,1817.0,18.0,7.0,5.0,3.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glenn Resch
3222,rolosdw01,2009,NYI,NHL,50.0,2897.0,23.0,18.0,7.0,1.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dwayne Roloson
3223,rolosdw01,2010,NYI,NHL,20.0,1206.0,6.0,13.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dwayne Roloson
3296,saloto01,1994,NYI,NHL,6.0,358.0,1.0,5.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Salo
3297,saloto01,1995,NYI,NHL,10.0,523.0,1.0,7.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Salo
3298,saloto01,1996,NYI,NHL,58.0,3208.0,20.0,27.0,8.0,5.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Salo
3299,saloto01,1997,NYI,NHL,62.0,3461.0,23.0,29.0,5.0,4.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Salo
3300,saloto01,1998,NYI,NHL,51.0,3018.0,17.0,26.0,7.0,5.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tommy Salo
3471,smithbi01,1972,NYI,NHL,37.0,2122.0,7.0,24.0,3.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Billy Smith
3472,smithbi01,1973,NYI,NHL,46.0,2615.0,9.0,23.0,12.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Billy Smith
3473,smithbi01,1974,NYI,NHL,58.0,3368.0,21.0,18.0,17.0,3.0,156.0,6.0,333.0,1.0,4.0,0.0,0.0,23.0,1.0,Billy Smith
3474,smithbi01,1975,NYI,NHL,39.0,2254.0,19.0,10.0,9.0,3.0,98.0,8.0,437.0,4.0,3.0,0.0,0.0,21.0,1.0,Billy Smith
3475,smithbi01,1976,NYI,NHL,36.0,2089.0,21.0,8.0,6.0,2.0,87.0,10.0,580.0,7.0,3.0,0.0,0.0,27.0,1.0,Billy Smith
